TARGET_NAME,FRAME_TYPE,DATE_OBS,BJD,SESSION_ID,FILE_NAME,RELATIVE_PATH,OBS_DATE,EXPOSURE,FILTER,TIME_DIFF_HOURS
CoRoT-2,Science,2026-08-09 06:21:15.416000+00:00,2461261.7647617594,CoRoT-2_Session_1,CoRoT-2260809062115.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809062115.fits,2026-08-08,60.0,Clear,0.04988555555555555
CoRoT-2,Science,2026-08-09 06:24:15.222000+00:00,2461261.766842847,CoRoT-2_Session_1,CoRoT-2260809062415.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809062415.fits,2026-08-08,60.0,Clear,0.049946111111111115
CoRoT-2,Science,2026-08-09 06:27:15.847000+00:00,2461261.7689334145,CoRoT-2_Session_1,CoRoT-2260809062715.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809062715.fits,2026-08-08,60.0,Clear,0.05017361111111111
CoRoT-2,Science,2026-08-09 06:30:16.413000+00:00,2461261.7710232986,CoRoT-2_Session_1,CoRoT-2260809063016.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809063016.fits,2026-08-08,60.0,Clear,0.05015722222222222
CoRoT-2,Science,2026-08-09 06:33:16.067000+00:00,2461261.773102627,CoRoT-2_Session_1,CoRoT-2260809063316.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809063316.fits,2026-08-08,60.0,Clear,0.049903888888888887
CoRoT-2,Science,2026-08-09 06:36:15.647000+00:00,2461261.7751810993,CoRoT-2_Session_1,CoRoT-2260809063615.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809063615.fits,2026-08-08,60.0,Clear,0.049883333333333335
CoRoT-2,Science,2026-08-09 06:39:15.309000+00:00,2461261.777260521,CoRoT-2_Session_1,CoRoT-2260809063915.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809063915.fits,2026-08-08,60.0,Clear,0.04990611111111111
CoRoT-2,Science,2026-08-09 06:42:16.827000+00:00,2461261.7793614236,CoRoT-2_Session_1,CoRoT-2260809064216.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809064216.fits,2026-08-08,60.0,Clear,0.05042166666666667
CoRoT-2,Science,2026-08-09 06:45:15.449000+00:00,2461261.781428808,CoRoT-2_Session_1,CoRoT-2260809064515.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809064515.fits,2026-08-08,60.0,Clear,0.04961722222222223
CoRoT-2,Science,2026-08-09 06:48:15.947000+00:00,2461261.783517905,CoRoT-2_Session_1,CoRoT-2260809064815.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809064815.fits,2026-08-08,60.0,Clear,0.05013833333333333
CoRoT-2,Science,2026-08-09 06:51:16.668000+00:00,2461261.7856095834,CoRoT-2_Session_1,CoRoT-2260809065116.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809065116.fits,2026-08-08,60.0,Clear,0.05020027777777778
CoRoT-2,Science,2026-08-09 06:54:16.435000+00:00,2461261.78769022,CoRoT-2_Session_1,CoRoT-2260809065416.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809065416.fits,2026-08-08,60.0,Clear,0.04993527777777778
