Time_BJD,Normalized_Flux,Flux_Error
2461261.4356139204,1.0199148896990218,0.0385671041111716
2461261.438423445,1.0072430915851214,0.038391851875953
2461261.4412235147,0.9730774229475612,0.0389261301438811
2461261.4424527567,0.9454654629878972,0.0411988653896619
2461261.4436832946,1.0,0.0375782050344617
2461261.4455909743,0.961443321834626,0.0395130322673637
2461261.44768035,1.00435127356126,0.0397242329932306
2461261.4497485915,1.0526851388024956,0.0384232114028809
2461261.4518382675,0.9676891371530738,0.0434541755101245
2461261.4539253283,0.9720693787688542,0.0449545722695522
2461261.45600556,0.9837589235630124,0.036733259423747
2461261.458084311,0.9712840611842944,0.0441378974262836
2461261.460186452,1.0218841389573112,0.0407548750613355
2461261.4643327617,0.9914517633773624,0.04001993808606
2461261.4664354348,1.0523656030087265,0.0372255600118424
2461261.468501489,1.0244818073770725,0.0383570306577266
2461261.470591397,1.0070996109879131,0.0383076231685448
2461261.4726699623,1.000938798649558,0.0382560493377668
2461261.474747776,1.0142888695085954,0.039276769142878
2461261.4768385976,1.0356011315009273,0.0387908067658921
2461261.478917093,0.9901489653537088,0.0405536901201601
2461261.480998113,0.9714629879128408,0.0405087496372813
2461261.4830886107,0.971175117899402,0.0393781737699935
2461261.485178426,0.9689084783870544,0.0430768699377387
2461261.487257685,0.9869071087653885,0.0402887381565973
2461261.491415441,0.9709152917020072,0.048715287348987
2461261.4935162747,1.0067194920399394,0.0392599467742941
2461261.4955835906,0.9706997854520948,0.0437438922798683
2461261.4976726184,0.9456014178374992,0.0422798623025191
2461261.499764228,0.945959028574612,0.0385825704182885
2461261.501844795,1.0385969169096667,0.0368190205188945
2461261.50392402,0.9875913974944888,0.0430950882061363
2461261.5060005025,0.9179812303327424,0.0374495776516204
2461261.508088477,0.9099964297425644,0.036124592725633
2461261.510178385,0.8636160787806614,0.0373725508644428
2461261.5143361404,0.8895025309792612,0.0349543111986611
2461261.5164265456,1.0454279040240448,0.0359619628646458
2461261.518517645,0.8776492440980059,0.0361080271731095
2461261.520583861,0.8607726447624521,0.0359832391172632
2461261.522685192,0.9072822504317736,0.0321617105462477
2461261.524754024,0.911090287753126,0.0351575327436876
2461261.5268437,0.8977396633717161,0.0337703533488624
2461261.528932265,1.0132242365389614,0.0332024730563022
2461261.5310098347,0.9778978514613345,0.0360701874655469
2461261.5330894534,1.0166047423125708,0.0344653911417911
2461261.53516825,1.0306820303709092,0.0324743852593559
2461261.537248285,0.995220038295566,0.034282257863573
2461261.539351699,1.0005485449598064,0.0360436738753932
2461261.5414186325,1.0282777108139265,0.0325319171122189
2461261.543498251,1.0535943271576256,0.0343624532772972
2461261.545599848,1.0255264943423312,0.0327920318279696
2461261.5476660985,0.985897861248154,0.0361566646059864
2461261.549756353,1.0030325772305646,0.0318881191930595
2461261.5518460404,1.0441796305443922,0.0328090770106207
2461261.553924397,1.0438570832640242,0.0343132430137098
2461261.556002025,1.0030401182155873,0.032083494442081
2461261.5580786685,1.0295097578943777,0.0320442937983513
2461261.560168946,1.023389941204637,0.0344927452680543
2461261.56224684,0.9770101116948716,0.0367662062606406
2461261.564348876,0.9963402465145688,0.0338088462286245
2461261.566414849,0.9974581064617396,0.0322666524525785
2461261.568505416,1.0318322767449533,0.0333209267366511
2461261.5705836564,1.0504786815408766,0.0339523294085749
2461261.572684408,0.9665322482727384,0.0345381652283282
2461261.574762476,0.9845709160140474,0.0359583974111735
2461261.576843876,1.0044661276595268,0.0356437812575932
2461261.578922556,1.0253225180416412,0.0347434347570377
2461261.581000392,0.9961229807322374,0.0349649622973494
2461261.5830920814,0.999996565381955,0.0369925003747872
2461261.5851829024,1.0293730682888174,0.03621518593356
2461261.587248192,1.011745504988672,0.0377287937045214
2461261.589337984,1.044031382126731,0.0397086809890773
2461261.5914154835,1.4675270157265237,0.053440438277454
2461261.593494337,1.4600138573064705,0.0522798642895786
2461261.595584637,1.1871396353433488,0.0434371378496687
2461268.40835077,1.0035354547815731,0.0357942864398655
2461268.4098953446,0.977665563368138,0.0361141418845533
2461268.411982142,1.006688196244725,0.0372450131123085
2461268.414059692,0.9686662828740504,0.0409269084174952
2461268.416147623,0.9881616393791102,0.0349855808908617
2461268.418235728,1.016347976029655,0.0374599168670814
2461268.42032403,1.0194832505065683,0.0369310731767087
2461268.422400804,0.9975648316629556,0.0449833038414178
2461268.4244772084,1.000204954844522,0.0486714782018684
2461268.426566297,1.0246436346543537,0.0424946811211048
2461268.428643778,1.0129052950823572,0.0486802865580081
2461268.430732369,1.0030052884845837,0.0452225367468526
2461268.4328085533,0.9773146150326676,0.0658793110442369
2461268.443229623,0.995762433593139,0.0560759390044827
2461268.447406574,1.0015770741487418,0.0423586329225699
2461268.449484101,0.989403619895866,0.0452197819016
2461268.451560609,0.9834717173735508,0.0477711110902522
2461268.453649328,1.0093304649500476,0.0576601031087725
2461268.457815133,0.980388059100367,0.0476724203820223
2461268.45989222,1.0053426083190835,0.0429559638091909
2461268.461982454,0.9601656854138524,0.0450195939761238
2461268.46405916,1.0205314872174636,0.0622624846369484
2461268.466146952,1.0311038306464737,0.0627249811681829
2461268.468233726,0.9648263883555523,0.0634117224001458
2461268.4703100724,0.965459882846992,0.0614328097212961
2461268.4723975877,0.9246183379250618,0.0798321706881043
2461268.480726385,1.020250045573794,0.0493085587521478
2461268.482814537,1.0314677637795562,0.0379319580513348
2461268.484890536,0.9952467778668496,0.0387076712822903
2461268.4869775875,0.998706881573346,0.0425821708724575
2461268.489065542,0.9946381073361348,0.0429404579213439
2461268.491143659,0.9680426500263992,0.0372248699666735
2461268.4953081333,0.9861188845415664,0.0539116835033079
2461268.4973950926,1.0046874018901344,0.0570414090559045
2461268.4994713115,1.0043979938090848,0.0578519341738238
2461268.5015585828,1.0433574729697368,0.0420471882628507
2461268.503647845,1.0101635323329756,0.0405130432421708
2461268.5057234503,1.0,0.0385714888293849
2461268.5078111617,0.9855434519675133,0.034478408117353
2461268.5119877304,0.9294847545983936,0.0373342173942668
2461268.5140643544,1.0387601229723014,0.0321161286238361
2461268.516140017,1.0033441645241907,0.0337099732523714
2461268.5182280643,0.9915756583665,0.0338476578552138
2461268.520303565,1.016585768547266,0.0329895072381196
2461268.5224036835,0.9671331223385692,0.0329511102505591
2461268.5244716154,1.031762979732591,0.032891138930244
2461268.5265611554,1.0439072808632766,0.0328111121816527
2461268.530727677,1.0147423541026348,0.0331609392535133
2461268.532804301,1.0050714799209828,0.0328395818626689
2461268.534892163,0.9903883871358414,0.0346336413774282
2461268.53697992,0.9809520503175282,0.0358529977219438
2461268.5390689047,0.955713821990232,0.0402270954325211
2461268.5411452274,0.9813344048015952,0.0325288280115077
2461268.5432230663,0.9665866317335124,0.0350896832511713
2461268.545311368,0.9886322151385252,0.0366157198609395
2461268.5473888125,1.0006983118399984,0.035811367213226
2461268.5494883866,0.9607755631022996,0.034310692384477
2461268.5515524643,0.972099773801854,0.0383742845884002
2461268.553640256,1.0171462742804895,0.0380839048408657
2461268.5557292984,0.9861716235495102,0.0360990255832681
2461268.5578049263,1.0068161022260436,0.0339981895671771
2461268.5598949865,1.0051891252183756,0.0360706654287255
2461268.561971853,1.0099590462647294,0.0355300184653543
2461268.5640615085,1.001863599795527,0.0355378725537053
2461268.5661382936,1.0152250038632789,0.0337660600219504
2461268.568227,1.0011226251821916,0.0345650594783508
2461268.5703153354,0.9725873990307936,0.0371863335004917
2461268.5723915766,1.000770396776825,0.0366680048879852
2461268.574469149,1.0099202651896944,0.0323222982935146
2461268.576558272,1.0067027296320172,0.0361500754422201
2461268.5786568616,0.9837791427657762,0.0342849696797259
2461268.5807346883,0.9906773954968928,0.0347958265555549
2461268.5828116587,0.9545044216920126,0.040125390741488
2461268.5848875297,0.9900636821053036,0.036838195172323
2461268.586976363,0.9672390839834318,0.0359331277210063
2461275.442891912,0.966284756137076,0.1060799306418033
2461275.499129801,0.94997033938821,0.1159837236219137
2461275.501217193,0.8210514084698183,0.0965058093264661
2461275.503305684,1.0040460690268576,0.0682796829686061
2461275.505383446,0.9912793075260172,0.0582096255848891
2461275.507482943,1.0774553215920992,0.0742555299253873
2461275.511635609,1.0097796654291298,0.0610098577654978
2461275.513723081,0.9946290432494924,0.0560669984307515
2461275.5157993045,0.988352301248778,0.0696791135667579
2461275.517886105,1.0870651057672542,0.0804610470806815
2461275.519961854,0.9771306040484352,0.1134992565380608
2461275.522050275,1.02678442553987,0.0606477083178631
2461275.524137979,1.0271002394760185,0.0565907246379531
2461275.5262150927,1.0,0.0599476676856427
2461275.53246692,1.023775621712267,0.0959862597295558
2461275.5407960336,1.0500498188458791,0.0717248361817112
2461275.5428837487,0.9516461862525656,0.0589643359697642
2461282.3591608424,8.482744583457164,37.473619284103904
2461282.379990698,21.80161687368591,107.29456733220022
2461282.4529182496,1.015888759999874,0.1940151367032494
2461282.454994722,0.9781902454414576,0.0978419923344723
2461282.457082385,1.004194712655051,0.0653188000023177
2461282.4591475967,0.989583920570352,0.0583752577395596
2461282.465401282,1.00827897959192,0.0650828608583292
2461282.467489374,0.9527252458132536,0.0620788885685938
2461282.469577685,1.0,0.0670822793988125
2461282.4716544696,0.9607424623393463,0.084078282603772
2461282.473742087,0.902156154596138,0.1118217517850986
