target,time_bjd,raw_flux,flux_err,session_id,is_real_data
Qatar-1,2461270.8505776157,0.9829983690317053,0.008092605810105756,session_01,True
Qatar-1,2461270.85226228,0.9970676569019192,0.011133305579841529,session_01,True
Qatar-1,2461270.854360972,0.9894524496665233,0.010984533424932748,session_01,True
Qatar-1,2461270.856437014,0.9922396348301005,0.01106380506346166,session_01,True
Qatar-1,2461270.8585130554,0.9854733536339623,0.011102773400810615,session_01,True
Qatar-1,2461270.8606127547,0.9891502763287093,0.011042370750088987,session_01,True
Qatar-1,2461270.8626779397,1.0024490129711894,0.011246873156175159,session_01,True
Qatar-1,2461270.864765417,1.006628940676941,0.008188315558758156,session_01,True
Qatar-1,2461270.866842292,0.9924547120283161,0.00814408005941796,session_01,True
Qatar-1,2461270.8689291202,0.9995985975323357,0.011157932319136908,session_01,True
Qatar-1,2461270.871016551,0.9989416752037953,0.011213886193465769,session_01,True
Qatar-1,2461270.873104734,1.0013116422891155,0.0110979337564502,session_01,True
Qatar-1,2461270.8751929514,0.9969224127377029,0.011190824165983302,session_01,True
Qatar-1,2461270.8772791433,0.9947758986517191,0.01112978204279757,session_01,True
Qatar-1,2461270.8793422338,1.0089877846728452,0.011248143193589688,session_01,True
Qatar-1,2461270.8814304513,1.002651231671217,0.008179291407319005,session_01,True
Qatar-1,2461270.8835181827,1.0007888943940226,0.008221077897221875,session_01,True
Qatar-1,2461270.8855925696,1.003499180777124,0.008178935081778884,session_01,True
Qatar-1,2461270.8876914005,0.9944276133923402,0.00821114237581941,session_01,True
Qatar-1,2461270.88978022,0.9892310436216495,0.00859513997391041,session_01,True
Qatar-1,2461270.89184375,0.9941021289683666,0.008180693454573075,session_01,True
Qatar-1,2461270.893931331,1.0090051157162578,0.008270453050542885,session_01,True
Qatar-1,2461270.8960182522,1.0025048821088347,0.00871197772696031,session_01,True
Qatar-1,2461270.8981057988,1.005233691591572,0.00873745034213339,session_01,True
Qatar-1,2461270.9001833913,1.0091854428852411,0.00877477222855887,session_01,True
Qatar-1,2461270.902270544,1.0043149899783326,0.00872779735893444,session_01,True
Qatar-1,2461270.904358345,1.0114036402264495,0.00876889279015295,session_01,True
Qatar-1,2461270.906435556,0.9975485101165712,0.00834417340580957,session_01,True
Qatar-1,2461270.908510405,0.9808332677361418,0.008621922248667004,session_01,True
Qatar-1,2461270.910609236,1.008833139481975,0.008753182158715024,session_01,True
Qatar-1,2461270.9126855787,0.9995724906863441,0.0087326606184711,session_01,True
Qatar-1,2461270.914761354,0.9846439239908908,0.008682523260316674,session_01,True
Qatar-1,2461270.9168495024,1.0213337022581237,0.008412759489063006,session_01,True
Qatar-1,2461270.9189264234,1.025168732931833,0.008493555382372094,session_01,True
Qatar-1,2461270.9210249307,1.0026635623475746,0.008349955002330461,session_01,True
Qatar-1,2461270.9231010415,1.0180806591206024,0.008468489288723832,session_01,True
Qatar-1,2461270.925176609,1.017865558786688,0.008436356173574973,session_01,True
Qatar-1,2461270.927264514,1.0124188386401252,0.008419442386568362,session_01,True
Qatar-1,2461270.929363993,1.0066184887273184,0.008411148972533306,session_01,True
Qatar-1,2461270.9314284027,1.0140669541298144,0.008490410371871163,session_01,True
Qatar-1,2461270.933516215,1.007575675719023,0.008417534444017678,session_01,True
Qatar-1,2461270.935604433,1.002141241433241,0.008400331517618431,session_01,True
Qatar-1,2461270.9376830324,1.0003163841065161,0.00841646765458639,session_01,True
