Time_BJD,Normalized_Flux,Flux_Error
2461282.3591608424,8.482744583457164,37.473619284103904
2461282.379990698,21.80161687368591,107.29456733220022
2461282.4529182496,1.015888759999874,0.19401513670324946
2461282.454994722,0.9781902454414576,0.09784199233447238
2461282.457082385,1.004194712655051,0.06531880000231777
2461282.4591475967,0.9895839205703519,0.05837525773955962
2461282.465401282,1.00827897959192,0.06508286085832922
2461282.467489374,0.9527252458132537,0.06207888856859389
2461282.4695776855,1.0,0.06708227939881253
2461282.4716544696,0.9607424623393463,0.08407828260377202
2461282.473742087,0.902156154596138,0.11182175178509861
